CD_REFNIS;SectorId;POPULATION;DT_STRT_SECTOR;DT_STOP_SECTOR;OPPERVLAKKTE IN HM²;TX_DESCR_SECTOR_NL;Value
11002;11002R19-;998;01Jan1983;31Dec9999;70,21337606;KRUININGE;1421,381588
11002;11002R20-;4273;01Jan1983;31Dec9999;34,4432892;VENNEBORG;12405,89996
11002;11002R21-;3373;01Jan1983;31Dec9999;30,35579468;MORTELHOEK;11111,55229
11002;11002R22-;1535;01Jan1983;31Dec9999;12,96147451;ERTBRUGGE;11842,7884
11002;11002R23-;3206;01Jan1983;31Dec9999;48,72398494;ZWARTE AREND;6579,92158
11002;11002R24-;2961;01Jan1983;31Dec9999;24,90620162;SCHOTENSTEENWEG;11888,60528
11002;11002R28-;104;01Jan1983;31Dec9999;61,5301831;RUGGEVELD;169,0227377
11002;11002R29-;0;01Jan1983;31Dec9999;34,92047583;ERTBRUGGE VELD;0
11002;11002R30-;1435;01Jan1983;31Dec9999;14,86471284;T MESTPUTTEKE;9653,735093
11002;11002R31-;4218;01Jan1983;31Dec9999;49,29596708;DRIEKONINGEN;8556,480884
11002;11002R32-;1991;01Jan1983;31Dec9999;19,1334989;ARENA;10405,8333
11002;11002R33-;3042;01Jan1983;31Dec9999;26,50324664;KRIEKENHOF;11477,83908
11002;11002R34-;1539;01Jan1983;31Dec9999;9,540854757;MUGGENBERG;16130,63021
11002;11002R35-;2736;01Jan1983;31Dec9999;21,85968645;MORKHOVEN;12516,19051
11002;11002R39-;21;01Jan1983;31Dec9999;23,01552945;BOTERLAARHOF;91,24274131
11002;11002R401;3085;01Jan1983;31Dec9999;34,49867567;BOEKENBERG;8942,372251
11002;11002R41-;2445;01Jan1983;31Dec9999;50,53904228;DRAKENHOF;4837,843951
11002;11002R42-;1346;01Jan1983;31Dec9999;15,47047756;BOEKENBERGLEI;8700,442473
11002;11002R43-;2311;01Jan1983;31Dec9999;43,0546;EKSTERLAAR;5367,602998
11002;11002R44-;2738;01Jan1983;31Dec9999;55,8415974;BOTERLAAR - SILSBURG;4903,154865
11002;11002R47-;124;01Jan1983;31Dec9999;120,732993;VLIEGVELD;102,705977
11002;11002R482;0;01Jan1983;31Dec9999;10,37259403;BOEKENBERGPARK;0
11002;11002S00-;4579;01Jan1983;31Dec9999;22,3639892;BORGERHOUT - GEMEENTEHUIS;20474,88022
11002;11002S01-;3873;01Jan1983;31Dec9999;20,4802695;FONTEINSTRAAT;18910,88397
11002;11002S02-;3365;01Jan1983;31Dec9999;20,85859425;DEN BLEEKHOF;16132,43903
11002;11002S03-;2380;01Jan1983;31Dec9999;11,61861877;KROONSTRAAT-WEST;20484,36262
11002;11002S04-;3997;01Jan1983;31Dec9999;19,58705791;HET LAAR;20406,33166
11002;11002S05-;2449;01Jan1983;31Dec9999;13,01498879;KATTENBERG;18816,76611
11002;11002S10-;1674;01Jan1983;31Dec9999;12,6374727;STENENBRUG-ZUID;13246,31942
11002;11002S11-;3121;01Jan1983;31Dec9999;28,01699109;COLLEGE;11139,66875
11002;11002S12-;2673;01Jan1983;31Dec9999;22,90296962;VAN DE PERRELEI;11670,97562
11002;11002S13-;1057;01Jan1983;31Dec9999;8,568500792;BOELAERPARK-NOORD;12335,88029
11002;11002S19-;0;01Jan1983;31Dec9999;17,30350635;TE BOELAERPARK;0
11002;11002S20-;852;01Jan1983;31Dec9999;4,905213334;FOORPLEIN;17369,27514
11002;11002S28-;0;01Jan1983;31Dec9999;7,936072545;DEURNE - HUISKENS;0
11002;11002S2MJ;693;01Oct2001;31Dec9999;88,52034534;E3 - E39;782,8708726
11002;11002S30-;4054;01Jan1983;31Dec9999;18,04636148;DE PEPERBUS;22464,36216
11002;11002S31-;4540;01Jan1983;31Dec9999;17,97002778;ST.-ANNA;25264,29038
11002;11002S41-;2158;01Jan1983;31Dec9999;19,47441345;LABORATORIUM;11081,20666
11002;11002S42-;2956;01Jan1983;31Dec9999;22,63361141;GITSCHOTEL;13060,22246
11002;11002S43-;1666;01Jan1983;31Dec9999;13,63431926;CRUYSLEI;12219,16525
11002;11002T00-;3562;01Jan1983;31Dec9999;21,06166673;OP TEN BERGH;16912,24178
11002;11002T01-;2520;01Jan1983;31Dec9999;14,37703679;POSTHOF;17527,95125
11002;11002T02-;1458;01Jan1983;31Dec9999;9,886205599;HOFVELD;14747,82196
11002;11002T03-;2476;01Jan1983;31Dec9999;24,198385;STUIVENBERG;10232,0878
